Diagnosa,Gejala,Penyakit,Penanganan,Risiko,,,,,,,,,,,,,,,,,,,,,
Abses,Abses,Abses,1.000 unit dengan GUSANEX dan 8.000 ml dengan Dexatozoon Injeksi dan 8.000 ml dengan B-SANPLEX dan 8.000 ml dengan VIT-OXY LA,,,,,,,,,,,,,,,,,,,,,,
Avitaminosis,"Anemia, Anorexia, Bulu Kusam, Demam, Diare, Gangguan otot , Gangguan pencernaan , Gangguan penglihatan, Gangguan pertumbuhan pada anak hewan, Gangguan pertumbuhan pada anak-anak, Gangguan reproduksi, Gangguan sistem kekebalan tubuh, Gangguan sistem saraf, Gangguan tulang, Keguguran pada betina, Kehilangan nafsu makan, Kejang , Kekurusan, Lelah , Lemah, Kerontokan rambut, Kesulitan dalam perkawinan, Masalah gigi dan gusi, seperti berdarah atau gusi yang bengkak, Masalah kulit seperti kering, bersisik, dan keriput, Masalah pernapasan, Penglihatan kabur, Perubahan perilaku, Pincang, Sakit otot, Sakit sendi, Sembelit",Avitaminosis,"1.000 bolus dengan PYRONIL-2500 BOLUS dan 8.000 ml dengan VITOL-140, 1000 dengan Pyronil-@2500 bolus dengan B-Sanplex, 1001 dengan Pyronil-@2500 bolus dengan B-Sanplex, 8.000 ml dengan VITOL, 1.000 bolus dengan PYRONIL-2500 BOLUS dan 10.000 ml dengan VITOL-140 dan 8.000 ml dengan BIODIN1003 dengan Pyronil-@2500 bolus dengan B-Sanplex2.000 ml dengan B-SANPLEX-140, 8.000 ml dengan B-SANPLEX dan 1.000 bolus dengan PYRONIL-2500 BOLUS, 1.000 bolus dengan PYRONIL-2500 BOLUS dan 10.000 ml dengan VITOL-140 dan 8.000 ml dengan BIODIN",Kekurangan vitamin (tidak terlalu beresiko),,,,,,,,,,,,,,,,,,,,,
Babesiosis,"Bulu kusam,Gatal,Kelainan kulit,Perkulitan",Babesiosis,"8000 gram dengan TRYPONIL; @3000 ml dengan Intrafer-200 B12, 1000 gram dengan SUPER-P; @8000 ml dengan VITOL-140; dan @1000 ml dengan MEDOXY LA",,,,,,,,,,,,,,,,,,,,,,
Bovine Ephemeral Fever,"Anorexia, Demam, Demam, Demam, Diare, Durasi gejala biasanya 3-4 hari, Gemetar , Kaku pada otot-otot tubuh, Kebingungan, Kehilangan nafsu makan, Lemah, Kelesuan, Kemungkinan terjadinya kejang, Kesadaran menurun, Kesulitan berdiri, Kesulitan bergerak, Muntah , Pembengkakan pada sendi-sendi kaki, Penurunan produksi susu pada sapi perah, Penurunan suhu tubuh setelah demam, Pincang, Produksi air liur meningkat, Sakit otot , Sakit sendi, Sempoyongan, Terjadi kejang-kejang, Tremor",Bovine Ephemeral Fever,"10.000 ml dengan B-SANPLEX dan 1.000 bolus dengan PYRONIL-2500 BOLUS, 8.000 ml dengan VET-OXY LA dan 8.000 ml dengan SULPIDON INJEKSI dan 8.000 ml dengan B-SANPLEX, 10.000 ml dengan SULPIDON, 8001 ml dengan B-SANPLEX; @8000 ml dengan SULPIDO INJEKSI dan @8000 ml dengan VET-OXY LA8.000 ml dengan B-SANPLEX dan 10.000 ml dengan SULPIDON INJEKSI dan 8.000 ml dengan VET-OXY LAINJEKSI dan 8.000 ml dengan VET-OXY LA dan 8.000 ml dengan B-SANPLEX, 8001 ml dengan B-SANPLEX; @8000 ml dengan SULPIDO INJEKSI dan @8000 ml dengan VET-OXY LA",Bisa menurunkan produksi daging ,,,,,,,,,,,,,,,,,,,,,
Corpus Luteum Persisten,Anestrus,Corpus Luteum Persisten,5000 ml dengan CAPRIGLADIN INJ; @10000 ml dengan VITOL-140,,,,,,,,,,,,,,,,,,,,,,
Distokia,"gelisah, Janin yang terlilit tali pusar, Keluarnya cairan atau darah dalam jumlah yang tidak normal dari vulva, Kepala atau anggota badan janin terlihat tidak normal atau terdistorsi, Kesulitan dalam proses persalinan, Keterlambatan dalam proses persalinan, Lama waktu persalinan yang tidak normal, Pendarahan atau keluarnya cairan dari vulva, Posisi atau presentasi janin yang tidak benar (misalnya kepala tersendat), Posisi atau presentasi janin yang tidak benar (misalnya, kaki belakang), Sapi kesulitan untuk melahirkan, Sapi menunjukkan tanda-tanda kesakitan yang tidak biasa, Sapi merintih , Sapi tampak gelisah, Sapi tampak tidak nyaman",Distokia,"1.000 unit dengan Traksi dan 10.000 ml dengan PENSTREP-400 dan 8.000 ml dengan BIODIN, 3.000 ml dengan BIODIN dan 1.000 unit dengan 2.000 ml dengan VET-OXY LA dan 1.000 ml dengan OXYTOCIN",,,,,,,,,,,,,,,,,,,,,,
Endometritis,Rahim bernanah,Endometritis,10000 ml dengan PENSTREP-400; @10000 ml dengan VITOL-140,,,,,,,,,,,,,,,,,,,,,,
Enteritis,"Berat badan turun secara signifikan, Darah dalam tinja (terkadang), Dehidrasi , Demam, Diare, Diare, Gatal atau terasa seperti ada benda asing di mata, Gejala flu, seperti pilek atau sakit tenggorokan (pada beberapa kasus), Penurunan berat badan yang signifikan, Kehilangan nafsu makan, Lelah , Keluarnya sekresi atau mata berair, Kram perut atau nyeri perut, Kurangnya urin, Lemas, Mata cekung, Mata merah, Mata iritasi, Mencret, Mengedipkan mata lebih sering dari biasanya, Mual, Mulut kering, Muntah , Pembengkakan pada kelopak mata, Penglihatan kabur, Penurunan produksi susu pada hewan ternak (jika berlaku), Perubahan perilaku, Perut kembung, Produksi lendir atau nanah pada mata (terutama jika infeksi bakteri), Rasa nyeri atau ketidaknyamanan di mata, Sensasi panas di mata, Sensitivitas terhadap cahaya (fotofobia), Suhu tubuh yang meningkat",Enteritis,"2.000 ml dengan SULFA STRONG dan 2.000 ml dengan VITOL-140, 10.000 ml dengan SULFA STRONG dan 10.000 ml dengan BIODIN, 10.000 ml dengan SULFA STRONG dan 8.000 ml dengan VITOL-140, 2.000 ml dengan SULFA STRONG dan 2.000 ml dengan B-SANPLEX",,,,,,,,,,,,,,,,,,,,,,
Eutokia,"Lahir mati,Lahir normal,Tanda lain",Eutokia,"10.000 ml dengan SULFA STRONG dan 10.000 ml dengan BIODIN, 1000 bolus dengan LAGANTOR BSA BOLUS; @1000 ml dengan VITOL-140, 8000 ml dengan VITOL-140; @1000 ml dengan PYRONIL-2500 BOLUS",,,,,,,,,,,,,,,,,,,,,,
Fasciolosis,"Bulu kusam, Kekurusan, Rahang bawah bengkak",Fasciolosis,8000 ml dengan VITOL-140; @10000 ml dengan ABENOL-100 ORAL,,,,,,,,,,,,,,,,,,,,,,
